Country or Area,Year,Value,Value Footnotes,Unit
Philippines(treated waste),2014,913597.8125,,tonnes
Philippines(treated waste),2012,1894845,,tonnes
Philippines(treated waste),2010,548094,,tonnes
Philippines(treated waste),2008,1080643,,tonnes
Philippines(treated waste),2006,11809898,,tonnes
Philippines(treated waste),2004,786099,,tonnes
Philippines(waste generated),2014,1712505.375,,tonnes
Philippines(waste generated),2012,678811,,tonnes
Philippines(waste generated),2010,1346506,,tonnes
Philippines(waste generated),2006,11786053,,tonnes
Philippines(waste generated),2004,707407,,tonnes
Portugal(treated waste),2014,175169,,tonnes
Portugal(treated waste),2012,193394,,tonnes
Portugal(treated waste),2010,310104,,tonnes
Portugal(treated waste),2008,289216,,tonnes
Portugal(treated waste),2006,3363875,,tonnes
Portugal(treated waste),2004,1898715,,tonnes
Portugal(waste generated),2014,461629,,tonnes
Portugal(waste generated),2012,544963,,tonnes
Portugal(waste generated),2010,666529,,tonnes
Portugal(waste generated),2008,564884,,tonnes
Portugal(waste generated),2006,6063104,2,tonnes
Portugal(waste generated),2004,2263203,2,tonnes
