Country or Area,Year,Value,Value Footnotes,Unit
Austria(treated waste),2014,439247,,tonnes
Austria(treated waste),2012,338860,,tonnes
Austria(treated waste),2010,401082,,tonnes
Austria(treated waste),2008,395221,,tonnes
Austria(treated waste),2006,335042,,tonnes
Austria(treated waste),2004,861967,,tonnes
China(treated waste),2014,29908200,,tonnes
China(treated waste),2012,27028500,,tonnes
China(treated waste),2010,14895000,,tonnes
China(treated waste),2008,12080000,,tonnes
China(treated waste),2006,8550000,,tonnes
China(treated waste),2004,6780000,,tonnes
Denmark(treated waste),2014,1819120,,tonnes
Denmark(treated waste),2012,977663,,tonnes
Denmark(treated waste),2010,1073218,,tonnes
Denmark(treated waste),2008,416095,,tonnes
Denmark(treated waste),2006,375562,,tonnes
Denmark(treated waste),2004,338334,,tonnes
Finland(treated waste),2014,1915719,,tonnes
Finland(treated waste),2012,1411308,,tonnes
Finland(treated waste),2010,1365767,,tonnes
Finland(treated waste),2008,2178038,,tonnes
Finland(treated waste),2006,2172452,,tonnes
Finland(treated waste),2004,2229060,,tonnes
France(treated waste),2014,7605065,,tonnes
France(treated waste),2012,8841003,,tonnes
France(treated waste),2010,8533645,,tonnes
France(treated waste),2008,6853136,,tonnes
France(treated waste),2006,6689820,,tonnes
France(treated waste),2004,6772000,,tonnes
Germany(treated waste),2014,20521108,,tonnes
Germany(treated waste),2012,21098396,,tonnes
Germany(treated waste),2010,19046940,,tonnes
Germany(treated waste),2008,23823844,,tonnes
Germany(treated waste),2006,21743228,,tonnes
Germany(treated waste),2004,20556732,,tonnes
Italy(treated waste),2014,3574305,,tonnes
Italy(treated waste),2012,3258267,,tonnes
Italy(treated waste),2010,3106766,,tonnes
Italy(treated waste),2008,3277345,,tonnes
Italy(treated waste),2006,2926159,,tonnes
Italy(treated waste),2004,2885110,,tonnes
Philippines(treated waste),2014,913597.8125,,tonnes
Philippines(treated waste),2012,1894845,,tonnes
Philippines(treated waste),2010,548094,,tonnes
Philippines(treated waste),2008,1080643,,tonnes
Philippines(treated waste),2006,11809898,,tonnes
Philippines(treated waste),2004,786099,,tonnes
Portugal(treated waste),2014,175169,,tonnes
Portugal(treated waste),2012,193394,,tonnes
Portugal(treated waste),2010,310104,,tonnes
Portugal(treated waste),2008,289216,,tonnes
Portugal(treated waste),2006,3363875,,tonnes
Portugal(treated waste),2004,1898715,,tonnes
Zimbabwe(treated waste),2014,10.5,,tonnes
Zimbabwe(treated waste),2012,37356.87891,,tonnes
Zimbabwe(treated waste),2010,45536.69922,,tonnes
Zimbabwe(treated waste),2008,20286.65039,,tonnes
Zimbabwe(treated waste),2006,24368.59961,,tonnes
Zimbabwe(treated waste),2004,21924.58008,,tonnes
Austria(waste generated),2014,1272288,,tonnes
Austria(waste generated),2012,1065888,,tonnes
Austria(waste generated),2010,1472864,,tonnes
Austria(waste generated),2008,1329984,,tonnes
Austria(waste generated),2006,961899,,tonnes
Austria(waste generated),2004,1013727,,tonnes
China(waste generated),2014,36335200,,tonnes
China(waste generated),2012,34652400,,tonnes
China(waste generated),2010,15867500,,tonnes
China(waste generated),2008,13570000,,tonnes
China(waste generated),2006,10840000,,tonnes
China(waste generated),2004,9950000,,tonnes
Denmark(waste generated),2014,1718394,,tonnes
Denmark(waste generated),2012,1216905,,tonnes
Denmark(waste generated),2010,1224795,,tonnes
Denmark(waste generated),2008,419646,,tonnes
Denmark(waste generated),2006,372892,,tonnes
Denmark(waste generated),2004,319672,,tonnes
Finland(waste generated),2014,1998693,,tonnes
Finland(waste generated),2012,1653942,,tonnes
Finland(waste generated),2010,2559417,,tonnes
Finland(waste generated),2008,2163268,,tonnes
Finland(waste generated),2006,2710948,,tonnes
Finland(waste generated),2004,2153103,,tonnes
France(waste generated),2014,10782969,,tonnes
France(waste generated),2012,11303137,,tonnes
France(waste generated),2010,11538134,,tonnes
France(waste generated),2008,10892900,,tonnes
France(waste generated),2006,8888747,1,tonnes
France(waste generated),2004,8764275,1,tonnes
Germany(waste generated),2014,21812660,,tonnes
Germany(waste generated),2012,21983896,,tonnes
Germany(waste generated),2010,19931452,,tonnes
Germany(waste generated),2008,22323152,,tonnes
Germany(waste generated),2006,21705416,,tonnes
Germany(waste generated),2004,20000026,,tonnes
Italy(waste generated),2014,8923548,,tonnes
Italy(waste generated),2012,8987032,,tonnes
Italy(waste generated),2010,8543415,,tonnes
Italy(waste generated),2008,6878155,,tonnes
Italy(waste generated),2006,7464670,,tonnes
Italy(waste generated),2004,6134449,,tonnes
Philippines(waste generated),2014,1712505.375,,tonnes
Philippines(waste generated),2012,678811,,tonnes
Philippines(waste generated),2010,1346506,,tonnes
Philippines(waste generated),2006,11786053,,tonnes
Philippines(waste generated),2004,707407,,tonnes
Portugal(waste generated),2014,461629,,tonnes
Portugal(waste generated),2012,544963,,tonnes
Portugal(waste generated),2010,666529,,tonnes
Portugal(waste generated),2008,564884,,tonnes
Portugal(waste generated),2006,6063104,2,tonnes
Portugal(waste generated),2004,2263203,2,tonnes
Zimbabwe(waste generated),2014,14328,3,tonnes
Zimbabwe(waste generated),2012,373567,3,tonnes
Zimbabwe(waste generated),2010,45537,4,tonnes
Zimbabwe(waste generated),2008,20287,4,tonnes
Zimbabwe(waste generated),2006,24369,4,tonnes
Zimbabwe(waste generated),2004,21925,4,tonnes
