Country or Area,Year,Value,Value Footnotes,Unit
Austria,2014,439247,,tonnes
Austria,2012,338860,,tonnes
Austria,2010,401082,,tonnes
Austria,2008,395221,,tonnes
Austria,2006,335042,,tonnes
Austria,2004,861967,,tonnes
China,2014,29908200,,tonnes
China,2012,27028500,,tonnes
China,2010,14895000,,tonnes
China,2008,12080000,,tonnes
China,2006,8550000,,tonnes
China,2004,6780000,,tonnes
Denmark,2014,1819120,,tonnes
Denmark,2012,977663,,tonnes
Denmark,2010,1073218,,tonnes
Denmark,2008,416095,,tonnes
Denmark,2006,375562,,tonnes
Denmark,2004,338334,,tonnes
Finland,2014,1915719,,tonnes
Finland,2012,1411308,,tonnes
Finland,2010,1365767,,tonnes
Finland,2008,2178038,,tonnes
Finland,2006,2172452,,tonnes
Finland,2004,2229060,,tonnes
France,2014,7605065,,tonnes
France,2012,8841003,,tonnes
France,2010,8533645,,tonnes
France,2008,6853136,,tonnes
France,2006,6689820,,tonnes
France,2004,6772000,,tonnes
Germany,2014,20521108,,tonnes
Germany,2012,21098396,,tonnes
Germany,2010,19046940,,tonnes
Germany,2008,23823844,,tonnes
Germany,2006,21743228,,tonnes
Germany,2004,20556732,,tonnes
Italy,2014,3574305,,tonnes
Italy,2012,3258267,,tonnes
Italy,2010,3106766,,tonnes
Italy,2008,3277345,,tonnes
Italy,2006,2926159,,tonnes
Italy,2004,2885110,,tonnes
Philippines,2014,913597.8125,,tonnes
Philippines,2012,1894845,,tonnes
Philippines,2010,548094,,tonnes
Philippines,2008,1080643,,tonnes
Philippines,2006,11809898,,tonnes
Philippines,2004,786099,,tonnes
Portugal,2014,175169,,tonnes
Portugal,2012,193394,,tonnes
Portugal,2010,310104,,tonnes
Portugal,2008,289216,,tonnes
Portugal,2006,3363875,,tonnes
Portugal,2004,1898715,,tonnes
Zimbabwe,2014,10.5,,tonnes
Zimbabwe,2012,37356.87891,,tonnes
Zimbabwe,2010,45536.69922,,tonnes
Zimbabwe,2008,20286.65039,,tonnes
Zimbabwe,2006,24368.59961,,tonnes
Zimbabwe,2004,21924.58008,,tonnes
